rgb,audio,depth
/home/public/replica-dataset/office_2/0/98.png,/home/public/replica-dataset/office_2/0/98.wav,/home/public/replica-dataset/office_2/0/98.npy
/home/public/replica-dataset/office_2/0/83.png,/home/public/replica-dataset/office_2/0/83.wav,/home/public/replica-dataset/office_2/0/83.npy
/home/public/replica-dataset/office_2/0/28.png,/home/public/replica-dataset/office_2/0/28.wav,/home/public/replica-dataset/office_2/0/28.npy
/home/public/replica-dataset/office_2/0/84.png,/home/public/replica-dataset/office_2/0/84.wav,/home/public/replica-dataset/office_2/0/84.npy
/home/public/replica-dataset/office_2/0/78.png,/home/public/replica-dataset/office_2/0/78.wav,/home/public/replica-dataset/office_2/0/78.npy
/home/public/replica-dataset/office_2/0/53.png,/home/public/replica-dataset/office_2/0/53.wav,/home/public/replica-dataset/office_2/0/53.npy
/home/public/replica-dataset/office_2/0/37.png,/home/public/replica-dataset/office_2/0/37.wav,/home/public/replica-dataset/office_2/0/37.npy
/home/public/replica-dataset/office_2/0/52.png,/home/public/replica-dataset/office_2/0/52.wav,/home/public/replica-dataset/office_2/0/52.npy
/home/public/replica-dataset/office_2/0/42.png,/home/public/replica-dataset/office_2/0/42.wav,/home/public/replica-dataset/office_2/0/42.npy
/home/public/replica-dataset/office_2/0/95.png,/home/public/replica-dataset/office_2/0/95.wav,/home/public/replica-dataset/office_2/0/95.npy
/home/public/replica-dataset/office_2/0/38.png,/home/public/replica-dataset/office_2/0/38.wav,/home/public/replica-dataset/office_2/0/38.npy
/home/public/replica-dataset/office_2/0/66.png,/home/public/replica-dataset/office_2/0/66.wav,/home/public/replica-dataset/office_2/0/66.npy
/home/public/replica-dataset/office_2/0/100.png,/home/public/replica-dataset/office_2/0/100.wav,/home/public/replica-dataset/office_2/0/100.npy
/home/public/replica-dataset/office_2/0/93.png,/home/public/replica-dataset/office_2/0/93.wav,/home/public/replica-dataset/office_2/0/93.npy
/home/public/replica-dataset/office_2/0/27.png,/home/public/replica-dataset/office_2/0/27.wav,/home/public/replica-dataset/office_2/0/27.npy
/home/public/replica-dataset/office_2/0/41.png,/home/public/replica-dataset/office_2/0/41.wav,/home/public/replica-dataset/office_2/0/41.npy
/home/public/replica-dataset/office_2/0/101.png,/home/public/replica-dataset/office_2/0/101.wav,/home/public/replica-dataset/office_2/0/101.npy
/home/public/replica-dataset/office_2/0/87.png,/home/public/replica-dataset/office_2/0/87.wav,/home/public/replica-dataset/office_2/0/87.npy
/home/public/replica-dataset/office_2/0/72.png,/home/public/replica-dataset/office_2/0/72.wav,/home/public/replica-dataset/office_2/0/72.npy
/home/public/replica-dataset/office_2/0/102.png,/home/public/replica-dataset/office_2/0/102.wav,/home/public/replica-dataset/office_2/0/102.npy
/home/public/replica-dataset/office_2/0/99.png,/home/public/replica-dataset/office_2/0/99.wav,/home/public/replica-dataset/office_2/0/99.npy
/home/public/replica-dataset/office_2/0/97.png,/home/public/replica-dataset/office_2/0/97.wav,/home/public/replica-dataset/office_2/0/97.npy
/home/public/replica-dataset/office_2/0/25.png,/home/public/replica-dataset/office_2/0/25.wav,/home/public/replica-dataset/office_2/0/25.npy
/home/public/replica-dataset/office_2/0/96.png,/home/public/replica-dataset/office_2/0/96.wav,/home/public/replica-dataset/office_2/0/96.npy
/home/public/replica-dataset/office_2/0/77.png,/home/public/replica-dataset/office_2/0/77.wav,/home/public/replica-dataset/office_2/0/77.npy
/home/public/replica-dataset/office_2/0/92.png,/home/public/replica-dataset/office_2/0/92.wav,/home/public/replica-dataset/office_2/0/92.npy
/home/public/replica-dataset/office_2/0/39.png,/home/public/replica-dataset/office_2/0/39.wav,/home/public/replica-dataset/office_2/0/39.npy
/home/public/replica-dataset/office_2/0/73.png,/home/public/replica-dataset/office_2/0/73.wav,/home/public/replica-dataset/office_2/0/73.npy
/home/public/replica-dataset/office_2/0/65.png,/home/public/replica-dataset/office_2/0/65.wav,/home/public/replica-dataset/office_2/0/65.npy
/home/public/replica-dataset/office_2/0/71.png,/home/public/replica-dataset/office_2/0/71.wav,/home/public/replica-dataset/office_2/0/71.npy
/home/public/replica-dataset/office_2/0/29.png,/home/public/replica-dataset/office_2/0/29.wav,/home/public/replica-dataset/office_2/0/29.npy
/home/public/replica-dataset/office_2/0/51.png,/home/public/replica-dataset/office_2/0/51.wav,/home/public/replica-dataset/office_2/0/51.npy
/home/public/replica-dataset/office_2/0/88.png,/home/public/replica-dataset/office_2/0/88.wav,/home/public/replica-dataset/office_2/0/88.npy
/home/public/replica-dataset/office_2/90/98.png,/home/public/replica-dataset/office_2/90/98.wav,/home/public/replica-dataset/office_2/90/98.npy
/home/public/replica-dataset/office_2/90/83.png,/home/public/replica-dataset/office_2/90/83.wav,/home/public/replica-dataset/office_2/90/83.npy
/home/public/replica-dataset/office_2/90/28.png,/home/public/replica-dataset/office_2/90/28.wav,/home/public/replica-dataset/office_2/90/28.npy
/home/public/replica-dataset/office_2/90/84.png,/home/public/replica-dataset/office_2/90/84.wav,/home/public/replica-dataset/office_2/90/84.npy
/home/public/replica-dataset/office_2/90/78.png,/home/public/replica-dataset/office_2/90/78.wav,/home/public/replica-dataset/office_2/90/78.npy
/home/public/replica-dataset/office_2/90/53.png,/home/public/replica-dataset/office_2/90/53.wav,/home/public/replica-dataset/office_2/90/53.npy
/home/public/replica-dataset/office_2/90/37.png,/home/public/replica-dataset/office_2/90/37.wav,/home/public/replica-dataset/office_2/90/37.npy
/home/public/replica-dataset/office_2/90/52.png,/home/public/replica-dataset/office_2/90/52.wav,/home/public/replica-dataset/office_2/90/52.npy
/home/public/replica-dataset/office_2/90/42.png,/home/public/replica-dataset/office_2/90/42.wav,/home/public/replica-dataset/office_2/90/42.npy
/home/public/replica-dataset/office_2/90/95.png,/home/public/replica-dataset/office_2/90/95.wav,/home/public/replica-dataset/office_2/90/95.npy
/home/public/replica-dataset/office_2/90/38.png,/home/public/replica-dataset/office_2/90/38.wav,/home/public/replica-dataset/office_2/90/38.npy
/home/public/replica-dataset/office_2/90/66.png,/home/public/replica-dataset/office_2/90/66.wav,/home/public/replica-dataset/office_2/90/66.npy
/home/public/replica-dataset/office_2/90/100.png,/home/public/replica-dataset/office_2/90/100.wav,/home/public/replica-dataset/office_2/90/100.npy
/home/public/replica-dataset/office_2/90/93.png,/home/public/replica-dataset/office_2/90/93.wav,/home/public/replica-dataset/office_2/90/93.npy
/home/public/replica-dataset/office_2/90/27.png,/home/public/replica-dataset/office_2/90/27.wav,/home/public/replica-dataset/office_2/90/27.npy
/home/public/replica-dataset/office_2/90/41.png,/home/public/replica-dataset/office_2/90/41.wav,/home/public/replica-dataset/office_2/90/41.npy
/home/public/replica-dataset/office_2/90/101.png,/home/public/replica-dataset/office_2/90/101.wav,/home/public/replica-dataset/office_2/90/101.npy
/home/public/replica-dataset/office_2/90/87.png,/home/public/replica-dataset/office_2/90/87.wav,/home/public/replica-dataset/office_2/90/87.npy
/home/public/replica-dataset/office_2/90/72.png,/home/public/replica-dataset/office_2/90/72.wav,/home/public/replica-dataset/office_2/90/72.npy
/home/public/replica-dataset/office_2/90/102.png,/home/public/replica-dataset/office_2/90/102.wav,/home/public/replica-dataset/office_2/90/102.npy
/home/public/replica-dataset/office_2/90/99.png,/home/public/replica-dataset/office_2/90/99.wav,/home/public/replica-dataset/office_2/90/99.npy
/home/public/replica-dataset/office_2/90/97.png,/home/public/replica-dataset/office_2/90/97.wav,/home/public/replica-dataset/office_2/90/97.npy
/home/public/replica-dataset/office_2/90/25.png,/home/public/replica-dataset/office_2/90/25.wav,/home/public/replica-dataset/office_2/90/25.npy
/home/public/replica-dataset/office_2/90/96.png,/home/public/replica-dataset/office_2/90/96.wav,/home/public/replica-dataset/office_2/90/96.npy
/home/public/replica-dataset/office_2/90/77.png,/home/public/replica-dataset/office_2/90/77.wav,/home/public/replica-dataset/office_2/90/77.npy
/home/public/replica-dataset/office_2/90/92.png,/home/public/replica-dataset/office_2/90/92.wav,/home/public/replica-dataset/office_2/90/92.npy
/home/public/replica-dataset/office_2/90/39.png,/home/public/replica-dataset/office_2/90/39.wav,/home/public/replica-dataset/office_2/90/39.npy
/home/public/replica-dataset/office_2/90/73.png,/home/public/replica-dataset/office_2/90/73.wav,/home/public/replica-dataset/office_2/90/73.npy
/home/public/replica-dataset/office_2/90/65.png,/home/public/replica-dataset/office_2/90/65.wav,/home/public/replica-dataset/office_2/90/65.npy
/home/public/replica-dataset/office_2/90/71.png,/home/public/replica-dataset/office_2/90/71.wav,/home/public/replica-dataset/office_2/90/71.npy
/home/public/replica-dataset/office_2/90/29.png,/home/public/replica-dataset/office_2/90/29.wav,/home/public/replica-dataset/office_2/90/29.npy
/home/public/replica-dataset/office_2/90/51.png,/home/public/replica-dataset/office_2/90/51.wav,/home/public/replica-dataset/office_2/90/51.npy
/home/public/replica-dataset/office_2/90/88.png,/home/public/replica-dataset/office_2/90/88.wav,/home/public/replica-dataset/office_2/90/88.npy
/home/public/replica-dataset/office_2/270/98.png,/home/public/replica-dataset/office_2/270/98.wav,/home/public/replica-dataset/office_2/270/98.npy
/home/public/replica-dataset/office_2/270/83.png,/home/public/replica-dataset/office_2/270/83.wav,/home/public/replica-dataset/office_2/270/83.npy
/home/public/replica-dataset/office_2/270/28.png,/home/public/replica-dataset/office_2/270/28.wav,/home/public/replica-dataset/office_2/270/28.npy
/home/public/replica-dataset/office_2/270/84.png,/home/public/replica-dataset/office_2/270/84.wav,/home/public/replica-dataset/office_2/270/84.npy
/home/public/replica-dataset/office_2/270/78.png,/home/public/replica-dataset/office_2/270/78.wav,/home/public/replica-dataset/office_2/270/78.npy
/home/public/replica-dataset/office_2/270/53.png,/home/public/replica-dataset/office_2/270/53.wav,/home/public/replica-dataset/office_2/270/53.npy
/home/public/replica-dataset/office_2/270/37.png,/home/public/replica-dataset/office_2/270/37.wav,/home/public/replica-dataset/office_2/270/37.npy
/home/public/replica-dataset/office_2/270/52.png,/home/public/replica-dataset/office_2/270/52.wav,/home/public/replica-dataset/office_2/270/52.npy
/home/public/replica-dataset/office_2/270/42.png,/home/public/replica-dataset/office_2/270/42.wav,/home/public/replica-dataset/office_2/270/42.npy
/home/public/replica-dataset/office_2/270/95.png,/home/public/replica-dataset/office_2/270/95.wav,/home/public/replica-dataset/office_2/270/95.npy
/home/public/replica-dataset/office_2/270/38.png,/home/public/replica-dataset/office_2/270/38.wav,/home/public/replica-dataset/office_2/270/38.npy
/home/public/replica-dataset/office_2/270/66.png,/home/public/replica-dataset/office_2/270/66.wav,/home/public/replica-dataset/office_2/270/66.npy
/home/public/replica-dataset/office_2/270/100.png,/home/public/replica-dataset/office_2/270/100.wav,/home/public/replica-dataset/office_2/270/100.npy
/home/public/replica-dataset/office_2/270/93.png,/home/public/replica-dataset/office_2/270/93.wav,/home/public/replica-dataset/office_2/270/93.npy
/home/public/replica-dataset/office_2/270/27.png,/home/public/replica-dataset/office_2/270/27.wav,/home/public/replica-dataset/office_2/270/27.npy
